Test Point Name;Name;High Power [W];Low Power [W];Pulse-On [ms];Pulse-Off [ms];Coat Time [s];Purge Time [s];Pressure [Pa];O2 [sccm];HMDSO [sccm];HMDSN [sccm];C2H2 [sccm];Ar [sccm];Exposure [ms]
V_1;V_1;500;0;5;90;30;10;25;220;2;;;;0
V_2;V_2;700;0;7;30;30;10;45;280;18;;;;0
V_3;V_3;500;0;9;30;30;10;35;340;14;;;;2707
V_4;V_4;800;0;7;90;30;10;45;280;6;;;;2447
V_5;V_5;500;0;3;30;30;10;5;160;6;;;;0
V_6;V_6;800;0;9;70;30;10;35;220;10;;;;5160
V_7;V_7;700;0;7;70;30;10;5;400;14;;;;249
V_8;V_8;600;0;7;90;30;10;35;400;10;;;;2785
V_9;V_9;800;0;7;30;30;10;15;220;18;;;;542
V_10;V_10;600;0;5;90;30;10;45;280;2;;;;0
V_11;V_11;800;0;5;30;30;10;15;400;6;;;;246
V_12;V_12;500;0;5;70;30;10;5;100;18;;;;7857
V_13;V_13;500;0;3;90;30;10;35;160;2;;;;4391
V_14;V_14;500;0;5;70;30;10;25;100;18;;;;7670
V_15;V_15;600;0;5;90;30;10;35;220;2;;;;0
V_16;V_16;900;0;9;30;30;10;15;400;18;;;;1
V_17;V_17;600;0;7;30;30;10;25;400;6;;;;0
V_18;V_18;700;0;9;90;30;10;25;100;14;;;;1796
V_19;V_19;800;0;3;70;30;10;15;340;2;;;;487
V_20;V_20;800;0;9;50;30;10;45;340;6;;;;4453
V_21;V_21;600;0;7;70;30;10;45;100;6;;;;331
V_22;V_22;500;0;3;90;30;10;45;220;14;;;;4674
V_23;V_23;900;0;5;30;30;10;5;100;18;;;;85
V_24;V_24;900;0;3;90;30;10;25;280;18;;;;3949
V_25;V_25;900;0;5;30;30;10;15;220;10;;;;332
V_26;V_26;600;0;9;70;30;10;45;160;2;;;;0
V_27;V_27;600;0;7;70;30;10;15;220;2;;;;0
V_28;V_28;800;0;9;90;30;10;45;340;14;;;;7330
V_29;V_29;800;0;7;30;30;10;35;160;6;;;;738
V_30;V_30;800;0;7;30;30;10;15;100;10;;;;834
V_31;V_31;900;0;7;30;30;10;35;340;2;;;;1475
V_32;V_32;500;0;7;70;30;10;5;100;2;;;;0
V_33;V_33;700;0;3;30;30;10;45;340;18;;;;1072
V_34;V_34;500;0;5;90;30;10;35;220;6;;;;12
V_35;V_35;900;0;5;90;30;10;15;160;10;;;;1102
V_36;V_36;500;0;7;50;30;10;5;220;6;;;;636
V_37;V_37;600;0;3;90;30;10;15;340;10;;;;0
V_38;V_38;700;0;7;30;30;10;15;400;18;;;;798
V_39;V_39;800;0;9;50;30;10;5;340;10;;;;4741
V_40;V_40;600;0;9;50;30;10;45;100;10;;;;204
V_41;V_41;900;0;7;70;30;10;35;220;6;;;;732
V_42;V_42;900;0;9;70;30;10;15;340;18;;;;2606
V_43;V_43;800;0;7;70;30;10;25;340;10;;;;2246
V_44;V_44;700;0;7;70;30;10;35;400;14;;;;3347
V_45;V_45;800;0;3;90;30;10;5;400;10;;;;163
V_46;V_46;500;0;5;70;30;10;45;340;14;;;;1958
V_47;V_47;800;0;7;50;30;10;25;280;2;;;;3789
V_48;V_48;500;0;5;30;30;10;35;220;18;;;;6004
V_49;V_49;700;0;9;90;30;10;5;340;18;;;;2910
V_50;V_50;600;0;3;50;30;10;35;220;18;;;;1173
