Test Point Name,Name,High Power [W],Low Power [W],Pulse-On [ms],Pulse-Off [ms],Coat Time [s],Purge Time [s],Pressure [Pa],O2 [sccm],HMDSO [sccm],HMDSN [sccm],C2H2 [sccm],Ar [sccm],Exposure [ms]
TP_1,V_X,600,0,7,50,30,10,15,340,6,,,,413
TP_2,V_X,600,0,7,70,30,10,45,100,18,,,,1615
TP_3,V_X,700,0,9,30,30,10,45,100,18,,,,463
TP_4,V_X,600,0,5,70,30,10,5,160,10,,,,5510
TP_5,V_X,900,0,3,70,30,10,5,340,10,,,,2183
TP_6,V_X,600,0,7,70,30,10,35,280,2,,,,1985
TP_7,V_X,700,0,3,50,30,10,45,160,14,,,,2287
TP_8,V_X,700,0,3,30,30,10,35,340,2,,,,2287
TP_9,V_X,600,0,3,90,30,10,25,220,18,,,,5510
TP_10,V_X,900,0,5,90,30,10,25,220,6,,,,2238
TP_11,V_X,600,0,9,90,30,10,35,280,6,,,,1985
TP_12,V_X,800,0,3,50,30,10,35,340,18,,,,770
TP_13,V_X,600,0,3,90,30,10,15,400,14,,,,5929
TP_14,V_X,900,0,9,50,30,10,25,400,18,,,,126
TP_15,V_X,600,0,5,70,30,10,25,280,18,,,,5929
TP_16,V_X,900,0,9,30,30,10,15,160,14,,,,176
TP_17,V_X,500,0,9,90,30,10,5,100,14,,,,1615
TP_18,V_X,600,0,7,50,30,10,35,160,14,,,,463
TP_19,V_X,700,0,3,90,30,10,25,160,10,,,,5510
TP_20,V_X,600,0,7,30,30,10,45,100,10,,,,463
TP_21,V_X,700,0,9,50,30,10,5,220,14,,,,463
TP_22,V_X,700,0,9,50,30,10,25,340,14,,,,413
TP_23,V_X,700,0,5,90,30,10,15,160,6,,,,5510
TP_24,V_X,600,0,5,30,30,10,15,280,10,,,,2287
TP_25,V_X,700,0,3,90,30,10,35,400,18,,,,5929
TP_26,V_X,800,0,7,30,30,10,15,100,10,,,,176
TP_27,V_X,600,0,3,30,30,10,35,160,18,,,,2287
TP_28,V_X,800,0,7,50,30,10,35,280,6,,,,126
TP_29,V_X,800,0,7,50,30,10,5,400,2,,,,126
TP_30,V_X,500,0,3,90,30,10,25,220,10,,,,5510
TP_31,V_X,900,0,3,50,30,10,15,100,2,,,,770
TP_32,V_X,600,0,3,50,30,10,5,220,2,,,,2287
TP_33,V_X,500,0,9,70,30,10,15,340,2,,,,1985
TP_34,V_X,900,0,5,30,30,10,5,280,18,,,,770
TP_35,V_X,800,0,7,70,30,10,35,100,2,,,,472
TP_36,V_X,500,0,5,70,30,10,15,220,10,,,,5510
TP_37,V_X,700,0,9,30,30,10,35,160,18,,,,463
TP_38,V_X,600,0,9,70,30,10,5,340,14,,,,1985
TP_39,V_X,800,0,9,90,30,10,25,100,2,,,,472
TP_40,V_X,600,0,3,50,30,10,5,160,18,,,,2287
TP_41,V_X,900,0,3,90,30,10,5,280,18,,,,2183
TP_42,V_X,800,0,3,70,30,10,5,220,18,,,,2238
TP_43,V_X,800,0,7,70,30,10,35,340,2,,,,367
TP_44,V_X,900,0,9,50,30,10,5,220,6,,,,176
TP_45,V_X,600,0,7,70,30,10,15,340,18,,,,1985
TP_46,V_X,500,0,5,70,30,10,25,340,2,,,,5929
TP_47,V_X,500,0,9,30,30,10,15,280,10,,,,413
TP_48,V_X,700,0,5,90,30,10,25,220,14,,,,5510
TP_49,V_X,600,0,7,50,30,10,5,280,18,,,,413
TP_50,V_X,700,0,5,30,30,10,25,100,10,,,,2287
