Parameter_ID,Belichtungszeit_ms
325,594.33
326,131.77
327,50.08
328,18.23
329,3320.15
330,564.07
331,478.22
332,89.22
333,1200.52
334,162.16
335,201.67
336,33.0
337,4372.52
338,1056.13
339,1045.26
340,165.2
341,2195.18
342,279.16
343,278.3
344,87.87
345,25344.0
346,1349.56
347,1184.99
348,363.69
349,2214.01
350,352.83
351,393.89
352,80.96
353,4767.74
354,1664.83
355,1523.45
356,374.56
357,4135.49
358,737.86
359,896.22
360,126.75
361,25344.0
362,2606.27
363,3574.55
364,480.14
365,2603.14
366,547.65
367,458.4
368,142.74
369,25344.0
370,4354.88
371,2524.68
372,563.97
373,1655.42
374,433.56
375,334.62
376,42.25
377,8800.59
378,1718.18
379,1144.63
380,162.92
381,1382.17
382,310.31
383,235.1
384,53.32
385,8699.38
386,1351.12
387,1037.5
388,455.29
