Parameter_ID,Belichtungszeit_ms,P_MW,t_on,t_off,p,O2,HMDSO
325,594.33,500.0,3.0,30.0,5.0,100.0,2.0
326,131.77,900.0,3.0,30.0,5.0,100.0,2.0
327,50.08,500.0,9.0,30.0,5.0,100.0,2.0
328,18.23,900.0,9.0,30.0,5.0,100.0,2.0
329,3320.15,500.0,3.0,90.0,5.0,100.0,2.0
330,564.07,900.0,3.0,90.0,5.0,100.0,2.0
331,478.22,500.0,9.0,90.0,5.0,100.0,2.0
332,89.22,900.0,9.0,90.0,5.0,100.0,2.0
333,1200.52,500.0,3.0,30.0,45.0,100.0,2.0
334,162.16,900.0,3.0,30.0,45.0,100.0,2.0
335,201.67,500.0,9.0,30.0,45.0,100.0,2.0
336,33.0,900.0,9.0,30.0,45.0,100.0,2.0
337,4372.52,500.0,3.0,90.0,45.0,100.0,2.0
338,1056.13,900.0,3.0,90.0,45.0,100.0,2.0
339,1045.26,500.0,9.0,90.0,45.0,100.0,2.0
340,165.2,900.0,9.0,90.0,45.0,100.0,2.0
341,2195.18,500.0,3.0,30.0,5.0,400.0,2.0
342,279.16,900.0,3.0,30.0,5.0,400.0,2.0
343,278.3,500.0,9.0,30.0,5.0,400.0,2.0
344,87.87,900.0,9.0,30.0,5.0,400.0,2.0
345,25344.0,500.0,3.0,90.0,5.0,400.0,2.0
346,1349.56,900.0,3.0,90.0,5.0,400.0,2.0
347,1184.99,500.0,9.0,90.0,5.0,400.0,2.0
348,363.69,900.0,9.0,90.0,5.0,400.0,2.0
349,2214.01,500.0,3.0,30.0,45.0,400.0,2.0
350,352.83,900.0,3.0,30.0,45.0,400.0,2.0
351,393.89,500.0,9.0,30.0,45.0,400.0,2.0
352,80.96,900.0,9.0,30.0,45.0,400.0,2.0
353,4767.74,500.0,3.0,90.0,45.0,400.0,2.0
354,1664.83,900.0,3.0,90.0,45.0,400.0,2.0
355,1523.45,500.0,9.0,90.0,45.0,400.0,2.0
356,374.56,900.0,9.0,90.0,45.0,400.0,2.0
357,4135.49,500.0,3.0,30.0,5.0,100.0,20.0
358,737.86,900.0,3.0,30.0,5.0,100.0,20.0
359,896.22,500.0,9.0,30.0,5.0,100.0,20.0
360,126.75,900.0,9.0,30.0,5.0,100.0,20.0
361,25344.0,500.0,3.0,90.0,5.0,100.0,20.0
362,2606.27,900.0,3.0,90.0,5.0,100.0,20.0
363,3574.55,500.0,9.0,90.0,5.0,100.0,20.0
364,480.14,900.0,9.0,90.0,5.0,100.0,20.0
365,2603.14,500.0,3.0,30.0,45.0,100.0,20.0
366,547.65,900.0,3.0,30.0,45.0,100.0,20.0
367,458.4,500.0,9.0,30.0,45.0,100.0,20.0
368,142.74,900.0,9.0,30.0,45.0,100.0,20.0
369,25344.0,500.0,3.0,90.0,45.0,100.0,20.0
370,4354.88,900.0,3.0,90.0,45.0,100.0,20.0
371,2524.68,500.0,9.0,90.0,45.0,100.0,20.0
372,563.97,900.0,9.0,90.0,45.0,100.0,20.0
373,1655.42,500.0,3.0,30.0,5.0,400.0,20.0
374,433.56,900.0,3.0,30.0,5.0,400.0,20.0
375,334.62,500.0,9.0,30.0,5.0,400.0,20.0
376,42.25,900.0,9.0,30.0,5.0,400.0,20.0
377,8800.59,500.0,3.0,90.0,5.0,400.0,20.0
378,1718.18,900.0,3.0,90.0,5.0,400.0,20.0
379,1144.63,500.0,9.0,90.0,5.0,400.0,20.0
380,162.92,900.0,9.0,90.0,5.0,400.0,20.0
381,1382.17,500.0,3.0,30.0,45.0,400.0,20.0
382,310.31,900.0,3.0,30.0,45.0,400.0,20.0
383,235.1,500.0,9.0,30.0,45.0,400.0,20.0
384,53.32,900.0,9.0,30.0,45.0,400.0,20.0
385,8699.38,500.0,3.0,90.0,45.0,400.0,20.0
386,1351.12,900.0,3.0,90.0,45.0,400.0,20.0
387,1037.5,500.0,9.0,90.0,45.0,400.0,20.0
388,455.29,900.0,9.0,90.0,45.0,400.0,20.0
